Rent50_2,Rent50_0,Rent50_1,Rent50_3,Rent50_4,county,State,countyname,CBSASub,Areaname,county_town_name,pop2010,state_alpha
701,566,576,950,1090,43,22,Grant Parish,METRO10780M10780,"Alexandria, LA MSA",Grant Parish,22309,LA
651,424,487,849,885,67,31,Gage County,NCNTY31067N31067,"Gage County, NE",Gage County,22311,NE
1582,1134,1267,1970,2142,17,25,Middlesex County,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Wilmington town,22325,MA
954,738,805,1263,1535,85,13,Dawson County,METRO12060M12060,"Atlanta-Sandy Springs-Marietta, GA HUD Metro FMR Area",Dawson County,22330,GA
861,696,726,1269,1403,27,41,Hood River County,NCNTY41027N41027,"Hood River County, OR",Hood River County,22346,OR
637,468,471,801,1076,145,17,Perry County,NCNTY17145N17145,"Perry County, IL",Perry County,22350,IL
561,334,415,699,782,83,5,Logan County,NCNTY05083N05083,"Logan County, AR",Logan County,22353,AR
658,437,486,820,975,173,17,Shelby County,NCNTY17173N17173,"Shelby County, IL",Shelby County,22363,IL
840,542,621,1235,1289,15,41,Curry County,NCNTY41015N41015,"Curry County, OR",Curry County,22364,OR
669,441,514,975,996,53,16,Jerome County,NCNTY16053N16053,"Jerome County, ID",Jerome County,22374,ID
1223,812,980,1523,1690,9,9,New Haven County,METRO35300MM5480,"New Haven-Meriden, CT HUD Metro FMR Area",Guilford town,22375,CT
647,499,502,828,995,123,19,Mahaska County,NCNTY19123N19123,"Mahaska County, IA",Mahaska County,22381,IA
1144,860,938,1425,1529,105,38,Williams County,NCNTY38105N38105,"Williams County, ND",Williams County,22398,ND
625,446,462,872,1042,135,46,Yankton County,NCNTY46135N46135,"Yankton County, SD",Yankton County,22438,SD
1046,802,815,1325,1572,5,9,Litchfield County,NCNTY09005N09005,"Litchfield County, CT",Watertown town,22514,CT
650,460,507,815,1032,179,48,Gray County,NCNTY48179N48179,"Gray County, TX",Gray County,22535,TX
1589,1272,1340,2127,2671,600,51,Fairfax city,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Fairfax city,22565,VA
637,515,537,939,1015,123,12,Taylor County,NCNTY12123N12123,"Taylor County, FL",Taylor County,22570,FL
880,697,701,1208,1218,39,28,George County,METRO37700M37700,"Pascagoula, MS MSA",George County,22578,MS
984,790,830,1294,1568,670,51,Hopewell city,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Hopewell city,22591,VA
636,467,470,885,1001,107,13,Emanuel County,NCNTY13107N13107,"Emanuel County, GA",Emanuel County,22598,GA
594,463,486,740,966,57,5,Hempstead County,NCNTY05057N05057,"Hempstead County, AR",Hempstead County,22609,AR
614,437,518,886,1058,175,39,Wyandot County,NCNTY39175N39175,"Wyandot County, OH",Wyandot County,22615,OH
663,487,490,935,938,11,45,Barnwell County,NCNTY45011N45011,"Barnwell County, SC",Barnwell County,22621,SC
685,503,506,961,1156,75,16,Payette County,NCNTY16075N16075,"Payette County, ID",Payette County,22623,ID
679,468,517,910,1064,57,47,Grainger County,METRO34100M34100,"Morristown, TN MSA",Grainger County,22657,TN
647,429,546,859,865,85,17,Jo Daviess County,NCNTY17085N17085,"Jo Daviess County, IL",Jo Daviess County,22678,IL
600,423,443,755,802,1,40,Adair County,NCNTY40001N40001,"Adair County, OK",Adair County,22683,OK
684,407,506,852,1010,75,8,Logan County,NCNTY08075N08075,"Logan County, CO",Logan County,22709,CO
735,554,557,915,982,111,22,Union Parish,METRO33740M33740,"Monroe, LA MSA",Union Parish,22721,LA
997,593,737,1254,1570,9,44,Washington County,METRO39300MM5520,"Westerly-Hopkinton-New Shoreham, RI HUD Metro FMR Area",Westerly town,22787,RI
